price,make_model,body_type,vat,km,type,fuel,gears,extras,age,previous_owners,hp_kw,inspection_new,paint_type,upholstery_type,gearing_type,displacement_cc,weight_kg,drive_chain,cons_comb,comfort_package,entertainment_media_package,safety_security_package
33222,Opel Insignia,Station wagon,VAT deductible,5990.0,Pre-registered,Benzine,6.0,"Alloy wheels,Roof rack,Shift paddles,Sport package,Sport seats,Sport suspension,Touch screen,Voice Control",0.0,1.0,147.0,0,Metallic,Part/Full Leather,Automatic,1598.0,1487.0,front,6.7,Premium Plus,Premium Media,Safety Premium Package
32995,Opel Insignia,Station wagon,VAT deductible,1.0,Used,Benzine,6.0,"Alloy wheels,Roof rack,Sport package,Sport seats,Sport suspension,Trailer hitch,Voice Control",0.0,1.0,147.0,0,Metallic,Part/Full Leather,Automatic,1598.0,1552.0,front,6.4,Premium,Premium Media,Safety Premium Package
33215,Opel Insignia,Sedans,VAT deductible,1647.3626086956522,New,Benzine,6.0,"Alloy wheels,Catalytic Converter,Touch screen",0.0,1.0,147.0,1,Metallic,Part/Full Leather,Automatic,1598.0,1522.0,front,6.4,Standard,Premium Media,Safety Premium Package
33138,Opel Insignia,Station wagon,VAT deductible,1647.3626086956522,New,Benzine,6.0,Alloy wheels,0.0,1.0,121.0,0,Metallic,Part/Full Leather,Automatic,1500.0,1487.0,front,5.6,Standard,Standard Media,Safety Standard Package
33061,Opel Insignia,Station wagon,VAT deductible,1647.3626086956522,New,Benzine,6.0,Alloy wheels,0.0,1.0,121.0,0,Metallic,Part/Full Leather,Automatic,1500.0,1487.0,front,5.6,Standard,Standard Media,Safety Standard Package
32995,Opel Insignia,Station wagon,VAT deductible,1.0,Pre-registered,Benzine,6.0,"Alloy wheels,Roof rack,Sport seats,Sport suspension,Trailer hitch,Voice Control",0.0,1.0,147.0,0,Metallic,Part/Full Leather,Automatic,1598.0,1552.0,front,6.5,Premium Plus,Premium Media,Safety Premium Package
32995,Opel Insignia,Station wagon,VAT deductible,1.0,Pre-registered,Benzine,6.0,"Alloy wheels,Roof rack,Sport seats,Sport suspension,Trailer hitch,Voice Control",0.0,1.0,147.0,0,Metallic,Part/Full Leather,Automatic,1598.0,1552.0,front,6.5,Premium Plus,Premium Media,Safety Premium Package
29290,Opel Insignia,Station wagon,VAT deductible,10.0,New,Benzine,6.0,"Alloy wheels,Roof rack,Sport seats,Sport suspension,Touch screen,Voice Control",0.0,1.0,121.0,0,Metallic,Part/Full Leather,Automatic,1500.0,1487.0,front,6.1,Premium,Premium Media,Safety Premium Package
29015,Opel Insignia,Sedans,VAT deductible,1647.3626086956522,New,Benzine,6.0,"Alloy wheels,Catalytic Converter,Touch screen",0.0,1.0,121.0,1,Metallic,Cloth,Automatic,1490.0,1472.0,front,5.9,Standard,Premium Media,Safety Premium Package
29005,Opel Insignia,Station wagon,VAT deductible,1647.3626086956522,New,Diesel,6.0,"Alloy wheels,Catalytic Converter,Roof rack,Touch screen",0.0,1.0,100.0,1,Metallic,Cloth,Automatic,1598.0,1567.0,front,5.3,Standard,Premium Media,Safety Premium Package
28995,Opel Insignia,Sedans,VAT deductible,1647.3626086956522,New,Benzine,6.0,"Alloy wheels,Catalytic Converter,Touch screen",0.0,1.0,147.0,1,Metallic,Cloth,Automatic,1598.0,1522.0,front,6.4,Standard,Premium Media,Safety Premium Package
